id,partnerID,name,recurrence,capacity
1,4,rent,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1650,""isNegative"":false}"
2,13,Utilities,"{""timing"":3,""dayOfTheMonth"":8}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":228,""isNegative"":false}"
3,13,Car payment,"{""timing"":3,""dayOfTheMonth"":4}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":338,""isNegative"":false}"
4,13,Car insurance,"{""timing"":3,""dayOfTheMonth"":12}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":201,""isNegative"":false}"
37,7,Electric,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
38,7,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":2000,""isNegative"":false}"
39,7,Car,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":20000,""isNegative"":false}"
40,7,Tesla,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":20000,""isNegative"":false}"
41,7,Misc,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":10,""isNegative"":false}"
42,11,Car,"{""timing"":3,""dayOfTheMonth"":4}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":396,""isNegative"":false}"
43,11,Mortgage,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":726,""isNegative"":false}"
44,23,Phone Bill,"{""timing"":3,""dayOfTheMonth"":6}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":75,""isNegative"":false}"
45,23,Car,"{""timing"":3,""dayOfTheMonth"":22}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":207,""isNegative"":false}"
46,36,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":815,""isNegative"":false}"
47,60,California✨,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":4000,""isNegative"":false}"
48,33,Car payment,"{""timing"":3,""dayOfTheMonth"":2}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":391,""isNegative"":false}"
49,68,Phone,"{""timing"":3,""dayOfTheMonth"":18}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":155,""isNegative"":false}"
50,115,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":390,""isNegative"":false}"
51,33,Saving for my tesla,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":10000,""isNegative"":false}"
52,183,Mortgage,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1044,""isNegative"":false}"
53,221,Car Payment,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":578,""isNegative"":false}"
54,224,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":750,""isNegative"":false}"
55,183,Motorcycle,"{""timing"":3,""dayOfTheMonth"":26}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":247,""isNegative"":false}"
56,169,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":943,""isNegative"":false}"
57,68,Peloton Membership,"{""timing"":3,""dayOfTheMonth"":12}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":43,""isNegative"":false}"
58,190,Rent,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1840,""isNegative"":false}"
59,224,Car Payment,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":250,""isNegative"":false}"
60,251,Rent,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":300,""isNegative"":false}"
61,115,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":390,""isNegative"":false}"
62,22,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1020,""isNegative"":false}"
63,183,HOA,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":250,""isNegative"":false}"
64,221,Verizon,"{""timing"":3,""dayOfTheMonth"":4}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":250,""isNegative"":false}"
65,190,Car payment,"{""timing"":3,""dayOfTheMonth"":17}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":505,""isNegative"":false}"
66,221,La Financa,"{""timing"":3,""dayOfTheMonth"":24}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
67,221,La Finance,"{""timing"":3,""dayOfTheMonth"":24}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
68,178,Savings,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":5000,""isNegative"":false}"
69,190,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":570,""isNegative"":false}"
70,190,Car Payment,"{""timing"":3,""dayOfTheMonth"":17}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":505,""isNegative"":false}"
71,221,Trip to Mexico,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1500,""isNegative"":false}"
72,115,Car insurance,"{""timing"":3,""dayOfTheMonth"":12}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":277,""isNegative"":false}"
73,221,Trip to Pari,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":3000,""isNegative"":false}"
74,22,CR-V,"{""timing"":3,""dayOfTheMonth"":27}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":605,""isNegative"":false}"
75,49,Phone Bill,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":165,""isNegative"":false}"
76,49,Internet,"{""timing"":3,""dayOfTheMonth"":13}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":70,""isNegative"":false}"
77,44,GT Mustang,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":7000,""isNegative"":false}"
78,144,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":450,""isNegative"":false}"
79,44,IRA Roth,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":500,""isNegative"":false}"
80,191,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":727,""isNegative"":false}"
81,42,Gaming setup,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":5000,""isNegative"":false}"
82,191,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":727,""isNegative"":false}"
83,151,Car,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":520,""isNegative"":false}"
84,74,Rent,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":300,""isNegative"":false}"
85,144,Discover Card,"{""timing"":3,""dayOfTheMonth"":18}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
86,144,Capital Card,"{""timing"":3,""dayOfTheMonth"":3}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
87,116,phone and insurance,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":454,""isNegative"":false}"
88,66,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":475,""isNegative"":false}"
89,30,Car Payment,"{""timing"":3,""dayOfTheMonth"":11}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":335,""isNegative"":false}"
90,30,Car Insurance,"{""timing"":3,""dayOfTheMonth"":23}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":178,""isNegative"":false}"
91,191,Car Insurance,"{""timing"":3,""dayOfTheMonth"":17}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":103,""isNegative"":false}"
92,191,Apple One,"{""timing"":3,""dayOfTheMonth"":3}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":30,""isNegative"":false}"
93,183,Emergency fund,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":5000,""isNegative"":false}"
94,183,Student loand,"{""timing"":3,""dayOfTheMonth"":13}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":400,""isNegative"":false}"
95,183,Wells fargo,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":300,""isNegative"":false}"
96,183,Discover,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":150,""isNegative"":false}"
97,115,Electric,"{""timing"":3,""dayOfTheMonth"":5}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":200,""isNegative"":false}"
98,174,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":430,""isNegative"":false}"
99,193,Car Down Payment,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":4000,""isNegative"":false}"
100,7,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
101,255,Car,"{""timing"":3,""dayOfTheMonth"":18}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":500,""isNegative"":false}"
102,259,Credit card,"{""timing"":3,""dayOfTheMonth"":16}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
103,259,Credit card,"{""timing"":3,""dayOfTheMonth"":23}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
104,259,Car,"{""timing"":3,""dayOfTheMonth"":22}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":587,""isNegative"":false}"
105,259,Cell phone,"{""timing"":3,""dayOfTheMonth"":7}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":200,""isNegative"":false}"
106,47,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":900,""isNegative"":false}"
107,47,Internet,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":89,""isNegative"":false}"
108,259,Our 4500 sqft house,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":5000,""isNegative"":false}"
109,269,Emergency fund,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":2100,""isNegative"":false}"
110,275,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1649,""isNegative"":false}"
111,47,Netflix,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":18,""isNegative"":false}"
112,47,Insurance,"{""timing"":3,""dayOfTheMonth"":22}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":107,""isNegative"":false}"
113,47,Disney Plus,"{""timing"":3,""dayOfTheMonth"":27}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":14,""isNegative"":false}"
115,37,Car Bill,"{""timing"":3,""dayOfTheMonth"":21}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":291,""isNegative"":false}"
117,46,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1560,""isNegative"":false}"
118,297,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1360,""isNegative"":false}"
119,299,Rent,"{""timing"":3,""dayOfTheMonth"":3}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":750,""isNegative"":false}"
120,271,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1030,""isNegative"":false}"
121,297,Internet,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":41,""isNegative"":false}"
122,262,Car,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":8000,""isNegative"":false}"
123,277,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1000,""isNegative"":false}"
124,297,Gas,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":40,""isNegative"":false}"
125,297,Electricity,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":30,""isNegative"":false}"
126,297,House downpayment,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":4000,""isNegative"":false}"
127,46,Car Note,"{""timing"":3,""dayOfTheMonth"":11}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":533,""isNegative"":false}"
128,314,Rent,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":759,""isNegative"":false}"
129,303,Car,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":420,""isNegative"":false}"
130,262,Phone,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":105,""isNegative"":false}"
131,314,Apartment Insurance,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":10,""isNegative"":false}"
132,303,Braces,"{""timing"":3,""dayOfTheMonth"":20}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":100,""isNegative"":false}"
133,303,Phone,"{""timing"":3,""dayOfTheMonth"":22}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":40,""isNegative"":false}"
134,314,Discover Card,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":300,""isNegative"":false}"
135,314,Apple Card,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":200,""isNegative"":false}"
136,303,Insurance,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":17,""isNegative"":false}"
137,303,Anna Pepe,"{""timing"":3,""dayOfTheMonth"":26}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":22,""isNegative"":false}"
138,314,PP Gift,"{""timing"":3,""dayOfTheMonth"":10}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":10,""isNegative"":false}"
139,303,Crossfit,"{""timing"":3,""dayOfTheMonth"":18}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":82,""isNegative"":false}"
140,303,School payments,"{""timing"":3,""dayOfTheMonth"":19}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":520,""isNegative"":false}"
141,314,Sallie Mae Interest,"{""timing"":3,""dayOfTheMonth"":21}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":75,""isNegative"":false}"
142,321,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":845,""isNegative"":false}"
143,314,ConEd,"{""timing"":3,""dayOfTheMonth"":10}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":50,""isNegative"":false}"
144,314,Wifi,"{""timing"":3,""dayOfTheMonth"":21}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":30,""isNegative"":false}"
145,322,Rent,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":300,""isNegative"":false}"
146,303,Vegas,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":700,""isNegative"":false}"
147,314,Future Apartment,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":2600,""isNegative"":false}"
148,311,Car,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":10000,""isNegative"":false}"
149,322,Insurance,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":116,""isNegative"":false}"
150,326,New Car,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":5000,""isNegative"":false}"
151,323,Phone and gym,"{""timing"":3,""dayOfTheMonth"":6}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":150,""isNegative"":false}"
152,322,Loan,"{""timing"":3,""dayOfTheMonth"":25}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":50,""isNegative"":false}"
153,323,Rent- Home Help,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":150,""isNegative"":false}"
154,226,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":450,""isNegative"":false}"
155,226,Car payment,"{""timing"":3,""dayOfTheMonth"":26}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":300,""isNegative"":false}"
156,226,Car insurance,"{""timing"":3,""dayOfTheMonth"":13}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":154,""isNegative"":false}"
157,334,CrossFit,"{""timing"":3,""dayOfTheMonth"":22}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":160,""isNegative"":false}"
158,226,New House,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":2500,""isNegative"":false}"
159,311,YouTube TV,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":86,""isNegative"":false}"
160,311,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1170,""isNegative"":false}"
161,330,Emergency fund,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1000,""isNegative"":false}"
162,334,Range Lessons,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":300,""isNegative"":false}"
163,334,Crossfit,"{""timing"":3,""dayOfTheMonth"":22}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":160,""isNegative"":false}"
164,354,Car,"{""timing"":3,""dayOfTheMonth"":23}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":107,""isNegative"":false}"
165,354,Imsurance,"{""timing"":3,""dayOfTheMonth"":13}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":173,""isNegative"":false}"
166,356,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":500,""isNegative"":false}"
167,350,Rent,"{""timing"":3,""dayOfTheMonth"":21}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":550,""isNegative"":false}"
168,350,Credit Card,"{""timing"":3,""dayOfTheMonth"":11}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":500,""isNegative"":false}"
169,350,Safenet,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":3000,""isNegative"":false}"
170,118,Student Loans,"{""timing"":3,""dayOfTheMonth"":12}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":200,""isNegative"":false}"
171,367,Rent,"{""timing"":3,""dayOfTheMonth"":6}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":600,""isNegative"":false}"
172,372,Car Loan,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":360,""isNegative"":false}"
173,372,Spotify,"{""timing"":3,""dayOfTheMonth"":12}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":11,""isNegative"":false}"
174,373,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1355,""isNegative"":false}"
175,372,Netflix,"{""timing"":3,""dayOfTheMonth"":17}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":19,""isNegative"":false}"
176,340,Rent,"{""timing"":3,""dayOfTheMonth"":1}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":730,""isNegative"":false}"
177,373,Insurance,"{""timing"":3,""dayOfTheMonth"":7}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":12,""isNegative"":false}"
178,372,Gas,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":60,""isNegative"":false}"
179,371,Netflix,"{""timing"":3,""dayOfTheMonth"":18}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":20,""isNegative"":false}"
180,373,Electric,"{""timing"":3,""dayOfTheMonth"":22}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":60,""isNegative"":false}"
181,371,Rent,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1150,""isNegative"":false}"
182,373,Internet,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":55,""isNegative"":false}"
183,371,Vegas,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":5000,""isNegative"":false}"
184,373,Indigo Credit Card,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":400,""isNegative"":false}"
185,377,Car,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":3000,""isNegative"":false}"
186,387,House and Bills,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":1000,""isNegative"":false}"
187,387,Subscriptions,"{""timing"":3,""dayOfTheMonth"":15}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":201,""isNegative"":false}"
188,387,ROTH IRA,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":200,""isNegative"":false}"
189,387,FIDELITY,"{""timing"":3,""dayOfTheMonth"":28}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":50,""isNegative"":false}"
190,387,Emergency Savings,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":23000,""isNegative"":false}"
191,40,Jeep,"{""timing"":0}","{""cents"":{""numberOfDimes"":0,""numberOfPennies"":0},""dollars"":3000,""isNegative"":false}"
